,dayofweek,hour,trip_num
0,1,0,8470.5
1,1,1,5098.01923077
2,1,2,3336.05769231
3,1,3,2348.82692308
4,1,4,2507.53846154
5,1,5,4018.84615385
6,1,6,9917.80769231
7,1,7,16199.4615385
8,1,8,19118.75
9,1,9,18395.8653846
10,1,10,16754.0384615
11,1,11,16773.6538462
12,1,12,17448.6538462
13,1,13,17415.5192308
14,1,14,18522.4615385
15,1,15,18174.2307692
16,1,16,16324.2115385
17,1,17,19315.8653846
18,1,18,22990.3076923
19,1,19,22885.9807692
20,1,20,21250.9807692
21,1,21,20667.5769231
22,1,22,18196.4230769
23,1,23,13548.8846154
24,2,0,8765.55769231
25,2,1,5160.73076923
26,2,2,3227.84615385
27,2,3,2116.55769231
28,2,4,2154.88461538
29,2,5,3837.07692308
30,2,6,10434.2692308
31,2,7,18011.2307692
32,2,8,21215.8461538
33,2,9,20130.8461538
34,2,10,18094.4230769
35,2,11,17941.1923077
36,2,12,18494.5576923
37,2,13,18397.5192308
38,2,14,19482.7884615
39,2,15,18495.9807692
40,2,16,15759.5576923
41,2,17,19548.9423077
42,2,18,24136.0769231
43,2,19,24681.25
44,2,20,23972.2692308
45,2,21,24149.3846154
46,2,22,21982.2884615
47,2,23,17111.6923077
48,3,0,11190.6538462
49,3,1,6573.51923077
50,3,2,4083.96153846
51,3,3,2725.09615385
52,3,4,2559.5
53,3,5,3982.17307692
54,3,6,10700.7692308
55,3,7,18732.5769231
56,3,8,22007.1923077
57,3,9,20760.9615385
58,3,10,18767.6923077
59,3,11,18684.3653846
60,3,12,19219.3653846
61,3,13,18961.8653846
62,3,14,19761.5961538
63,3,15,18641.8653846
64,3,16,15498.8461538
65,3,17,19308.4230769
66,3,18,24144.7884615
67,3,19,25733.8653846
68,3,20,25046.5192308
69,3,21,25171.2692308
70,3,22,23673.1346154
71,3,23,19116.5961538
72,4,0,13089.509434
73,4,1,8137.39622642
74,4,2,5273.62264151
75,4,3,3561.88679245
76,4,4,3121.09433962
77,4,5,4192.47169811
78,4,6,10611.509434
79,4,7,18422.1698113
80,4,8,21422.5471698
81,4,9,20223.5660377
82,4,10,18508.3773585
83,4,11,18623.5471698
84,4,12,19330.1509434
85,4,13,19097.0188679
86,4,14,19933.0943396
87,4,15,18570.3396226
88,4,16,15266.2641509
89,4,17,19058.6037736
90,4,18,23814.4339623
91,4,19,25352.8301887
92,4,20,25115.0377358
93,4,21,25438.9433962
94,4,22,24230.6603774
95,4,23,21528.9433962
96,5,0,16647.9807692
97,5,1,10949.5961538
98,5,2,7167.84615385
99,5,3,4811.44230769
100,5,4,3873.84615385
101,5,5,4390.30769231
102,5,6,10204.2115385
103,5,7,17299.0384615
104,5,8,20334.8269231
105,5,9,19702.1153846
106,5,10,18288.0769231
107,5,11,18524.4038462
108,5,12,18975.8076923
109,5,13,18620.9423077
110,5,14,19727.2115385
111,5,15,18256.8269231
112,5,16,15572.8269231
113,5,17,19534.9807692
114,5,18,24257.5384615
115,5,19,26037.2115385
116,5,20,24359.1730769
117,5,21,24156.6923077
118,5,22,25035.2692308
119,5,23,24660.3269231
120,6,0,22749.5769231
121,6,1,19577.4615385
122,6,2,16076.4807692
123,6,3,11956.3653846
124,6,4,7677.48076923
125,6,5,3926.11538462
126,6,6,4805.07692308
127,6,7,7010.26923077
128,6,8,10608.6346154
129,6,9,14840.8461538
130,6,10,17677.9615385
131,6,11,19859.6346154
132,6,12,21228.6346154
133,6,13,21516.8846154
134,6,14,20818.7692308
135,6,15,20737.0769231
136,6,16,18679.4615385
137,6,17,20907.5576923
138,6,18,24095.2307692
139,6,19,25131.0384615
140,6,20,22335.7692308
141,6,21,22266.5576923
142,6,22,24129.4230769
143,6,23,24994.8653846
144,7,0,23385.3846154
145,7,1,21428.6346154
146,7,2,17278.0769231
147,7,3,13509.8076923
148,7,4,8636.71153846
149,7,5,4034.42307692
150,7,6,4137.5
151,7,7,5455.90384615
152,7,8,8145.76923077
153,7,9,11945.9615385
154,7,10,16141.3846154
155,7,11,18671.5576923
156,7,12,20147.5384615
157,7,13,20213.75
158,7,14,20101.4807692
159,7,15,19181.0769231
160,7,16,18103.25
161,7,17,19139.1153846
162,7,18,20172.9615385
163,7,19,18915.7307692
164,7,20,17270.2307692
165,7,21,16671.2307692
166,7,22,15407.9230769
167,7,23,12505.7115385
